STATUS | wrapper  | 2013/07/09 14:33:07 | --> Wrapper Started as Console
INFO   | jvm 2    | 2013/07/09 14:35:24 | WrapperManager:           Please verify that the file is both readable and executable by the
INFO   | jvm 2    | 2013/07/09 14:35:24 | WrapperManager:           current user and that the file has not been corrupted in any way.
INFO   | jvm 2    | 2013/07/09 14:35:24 | WrapperManager:           One common cause of this problem is running a 32-bit version
INFO   | jvm 2    | 2013/07/09 14:35:24 | WrapperManager:           of the Wrapper with a 64-bit version of Java, or vica versa.
INFO   | jvm 2    | 2013/07/09 14:35:24 | WrapperManager:           This is a 64-bit JVM.
INFO   | jvm 2    | 2013/07/09 14:35:24 | WrapperManager:           Reported cause:
INFO   | jvm 2    | 2013/07/09 14:35:24 | WrapperManager:             C:\CSIKI\PROGRAMING\Java\ProjectWaifu\Waifu\lib\wrapper.dll: Can't load IA 32-bit .dll on a AMD 64-bit platform
INFO   | jvm 2    | 2013/07/09 14:35:24 | WrapperManager:           System signals will not be handled correctly.
INFO   | jvm 2    | 2013/07/09 14:35:24 | WrapperManager: 
INFO   | jvm 2    | 2013/07/09 14:35:24 | WrapperSimpleApp Error: Unable to locate the class main.Main : java.lang.ClassNotFoundException: main.Main
INFO   | jvm 2    | 2013/07/09 14:35:24 | 
INFO   | jvm 2    | 2013/07/09 14:35:24 | WrapperSimpleApp Usage:
INFO   | jvm 2    | 2013/07/09 14:35:24 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class{/app_method}} [app_arguments]
INFO   | jvm 2    | 2013/07/09 14:35:24 | 
INFO   | jvm 2    | 2013/07/09 14:35:24 | Where:
INFO   | jvm 2    | 2013/07/09 14:35:24 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 2    | 2013/07/09 14:35:24 |   app_arguments:  The arguments that would normally be passed to the
INFO   | jvm 2    | 2013/07/09 14:35:24 |                   application.
ERROR  | wrapper  | 2013/07/09 14:35:26 | JVM exited while loading the application.
STATUS | wrapper  | 2013/07/09 14:35:30 | Launching a JVM...
INFO   | jvm 3    | 2013/07/09 14:35:30 | WrapperManager: Initializing...
INFO   | jvm 3    | 2013/07/09 14:35:31 | WrapperManager: 
INFO   | jvm 3    | 2013/07/09 14:35:31 | WrapperManager: WARNING - Unable to load the Wrapper's native library 'wrapper.dll'.
INFO   | jvm 3    | 2013/07/09 14:35:31 | WrapperManager:           The file is located on the path at the following location but
INFO   | jvm 3    | 2013/07/09 14:35:31 | WrapperManager:           could not be loaded:
INFO   | jvm 3    | 2013/07/09 14:35:31 | WrapperManager:             c:\CSIKI\PROGRAMING\Java\ProjectWaifu\Waifu\bin\..\lib\wrapper.dll
INFO   | jvm 3    | 2013/07/09 14:35:31 | WrapperManager:           Please verify that the file is both readable and executable by the
INFO   | jvm 3    | 2013/07/09 14:35:31 | WrapperManager:           current user and that the file has not been corrupted in any way.
INFO   | jvm 3    | 2013/07/09 14:35:31 | WrapperManager:           One common cause of this problem is running a 32-bit version
INFO   | jvm 3    | 2013/07/09 14:35:31 | WrapperManager:           of the Wrapper with a 64-bit version of Java, or vica versa.
INFO   | jvm 3    | 2013/07/09 14:35:31 | WrapperManager:           This is a 64-bit JVM.
INFO   | jvm 3    | 2013/07/09 14:35:31 | WrapperManager:           Reported cause:
INFO   | jvm 3    | 2013/07/09 14:35:31 | WrapperManager:             C:\CSIKI\PROGRAMING\Java\ProjectWaifu\Waifu\lib\wrapper.dll: Can't load IA 32-bit .dll on a AMD 64-bit platform
INFO   | jvm 3    | 2013/07/09 14:35:31 | WrapperManager:           System signals will not be handled correctly.
INFO   | jvm 3    | 2013/07/09 14:35:31 | WrapperManager: 
INFO   | jvm 3    | 2013/07/09 14:35:31 | WrapperSimpleApp Error: Unable to locate the class main.Main : java.lang.ClassNotFoundException: main.Main
INFO   | jvm 3    | 2013/07/09 14:35:31 | 
INFO   | jvm 3    | 2013/07/09 14:35:31 | WrapperSimpleApp Usage:
INFO   | jvm 3    | 2013/07/09 14:35:31 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class{/app_method}} [app_arguments]
INFO   | jvm 3    | 2013/07/09 14:35:31 | 
INFO   | jvm 3    | 2013/07/09 14:35:31 | Where:
INFO   | jvm 3    | 2013/07/09 14:35:31 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 3    | 2013/07/09 14:35:31 |   app_arguments:  The arguments that would normally be passed to the
INFO   | jvm 3    | 2013/07/09 14:35:31 |                   application.
ERROR  | wrapper  | 2013/07/09 14:35:32 | JVM exited while loading the application.
STATUS | wrapper  | 2013/07/09 14:35:37 | Launching a JVM...
INFO   | jvm 4    | 2013/07/09 14:35:37 | WrapperManager: Initializing...
INFO   | jvm 4    | 2013/07/09 14:35:37 | WrapperManager: 
INFO   | jvm 4    | 2013/07/09 14:35:37 | WrapperManager: WARNING - Unable to load the Wrapper's native library 'wrapper.dll'.
INFO   | jvm 4    | 2013/07/09 14:35:37 | WrapperManager:           The file is located on the path at the following location but
INFO   | jvm 4    | 2013/07/09 14:35:37 | WrapperManager:           could not be loaded:
INFO   | jvm 4    | 2013/07/09 14:35:37 | WrapperManager:             c:\CSIKI\PROGRAMING\Java\ProjectWaifu\Waifu\bin\..\lib\wrapper.dll
INFO   | jvm 4    | 2013/07/09 14:35:37 | WrapperManager:           Please verify that the file is both readable and executable by the
INFO   | jvm 4    | 2013/07/09 14:35:37 | WrapperManager:           current user and that the file has not been corrupted in any way.
INFO   | jvm 4    | 2013/07/09 14:35:37 | WrapperManager:           One common cause of this problem is running a 32-bit version
INFO   | jvm 4    | 2013/07/09 14:35:37 | WrapperManager:           of the Wrapper with a 64-bit version of Java, or vica versa.
INFO   | jvm 4    | 2013/07/09 14:35:37 | WrapperManager:           This is a 64-bit JVM.
INFO   | jvm 4    | 2013/07/09 14:35:37 | WrapperManager:           Reported cause:
INFO   | jvm 4    | 2013/07/09 14:35:37 | WrapperManager:             C:\CSIKI\PROGRAMING\Java\ProjectWaifu\Waifu\lib\wrapper.dll: Can't load IA 32-bit .dll on a AMD 64-bit platform
INFO   | jvm 4    | 2013/07/09 14:35:37 | WrapperManager:           System signals will not be handled correctly.
INFO   | jvm 4    | 2013/07/09 14:35:37 | WrapperManager: 
INFO   | jvm 4    | 2013/07/09 14:35:37 | WrapperSimpleApp Error: Unable to locate the class main.Main : java.lang.ClassNotFoundException: main.Main
INFO   | jvm 4    | 2013/07/09 14:35:37 | 
INFO   | jvm 4    | 2013/07/09 14:35:37 | WrapperSimpleApp Usage:
INFO   | jvm 4    | 2013/07/09 14:35:37 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class{/app_method}} [app_arguments]
INFO   | jvm 4    | 2013/07/09 14:35:37 | 
INFO   | jvm 4    | 2013/07/09 14:35:37 | Where:
INFO   | jvm 4    | 2013/07/09 14:35:37 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 4    | 2013/07/09 14:35:37 |   app_arguments:  The arguments that would normally be passed to the
INFO   | jvm 4    | 2013/07/09 14:35:37 |                   application.
ERROR  | wrapper  | 2013/07/09 14:35:39 | JVM exited while loading the application.
STATUS | wrapper  | 2013/07/09 14:35:44 | Launching a JVM...
INFO   | jvm 5    | 2013/07/09 14:35:44 | WrapperManager: Initializing...
INFO   | jvm 5    | 2013/07/09 14:35:44 | WrapperManager: 
INFO   | jvm 5    | 2013/07/09 14:35:44 | WrapperManager: WARNING - Unable to load the Wrapper's native library 'wrapper.dll'.
INFO   | jvm 5    | 2013/07/09 14:35:44 | WrapperManager:           The file is located on the path at the following location but
INFO   | jvm 5    | 2013/07/09 14:35:44 | WrapperManager:           could not be loaded:
INFO   | jvm 5    | 2013/07/09 14:35:44 | WrapperManager:             c:\CSIKI\PROGRAMING\Java\ProjectWaifu\Waifu\bin\..\lib\wrapper.dll
INFO   | jvm 5    | 2013/07/09 14:35:44 | WrapperManager:           Please verify that the file is both readable and executable by the
INFO   | jvm 5    | 2013/07/09 14:35:44 | WrapperManager:           current user and that the file has not been corrupted in any way.
INFO   | jvm 5    | 2013/07/09 14:35:44 | WrapperManager:           One common cause of this problem is running a 32-bit version
INFO   | jvm 5    | 2013/07/09 14:35:44 | WrapperManager:           of the Wrapper with a 64-bit version of Java, or vica versa.
INFO   | jvm 5    | 2013/07/09 14:35:44 | WrapperManager:           This is a 64-bit JVM.
INFO   | jvm 5    | 2013/07/09 14:35:44 | WrapperManager:           Reported cause:
INFO   | jvm 5    | 2013/07/09 14:35:44 | WrapperManager:             C:\CSIKI\PROGRAMING\Java\ProjectWaifu\Waifu\lib\wrapper.dll: Can't load IA 32-bit .dll on a AMD 64-bit platform
INFO   | jvm 5    | 2013/07/09 14:35:44 | WrapperManager:           System signals will not be handled correctly.
INFO   | jvm 5    | 2013/07/09 14:35:44 | WrapperManager: 
INFO   | jvm 5    | 2013/07/09 14:35:44 | WrapperSimpleApp Error: Unable to locate the class main.Main : java.lang.ClassNotFoundException: main.Main
INFO   | jvm 5    | 2013/07/09 14:35:44 | 
INFO   | jvm 5    | 2013/07/09 14:35:44 | WrapperSimpleApp Usage:
INFO   | jvm 5    | 2013/07/09 14:35:44 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class{/app_method}} [app_arguments]
INFO   | jvm 5    | 2013/07/09 14:35:44 | 
INFO   | jvm 5    | 2013/07/09 14:35:44 | Where:
INFO   | jvm 5    | 2013/07/09 14:35:44 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 5    | 2013/07/09 14:35:44 |   app_arguments:  The arguments that would normally be passed to the
INFO   | jvm 5    | 2013/07/09 14:35:44 |                   application.
ERROR  | wrapper  | 2013/07/09 14:35:46 | JVM exited while loading the application.
FATAL  | wrapper  | 2013/07/09 14:35:46 | There were 5 failed launches in a row, each lasting less than 300 seconds.  Giving up.
FATAL  | wrapper  | 2013/07/09 14:35:46 |   There may be a configuration problem: please check the logs.
STATUS | wrapper  | 2013/07/09 14:35:46 | <-- Wrapper Stopped
STATUS | wrapper  | 2013/07/09 14:38:38 | --> Wrapper Started as Console
STATUS | wrapper  | 2013/07/09 14:38:38 | Java Service Wrapper Community Edition 32-bit 3.5.19
STATUS | wrapper  | 2013/07/09 14:38:38 |   Copyright (C) 1999-2013 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2013/07/09 14:38:38 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2013/07/09 14:38:38 | 
STATUS | wrapper  | 2013/07/09 14:38:39 | Launching a JVM...
INFO   | jvm 1    | 2013/07/09 14:38:39 | WrapperManager: Initializing...
INFO   | jvm 1    | 2013/07/09 14:38:39 | WrapperManager: 
INFO   | jvm 1    | 2013/07/09 14:38:39 | WrapperManager: WARNING - Unable to load the Wrapper's native library 'wrapper.dll'.
INFO   | jvm 1    | 2013/07/09 14:38:39 | WrapperManager:           The file is located on the path at the following location but
INFO   | jvm 1    | 2013/07/09 14:38:39 | WrapperManager:           could not be loaded:
INFO   | jvm 1    | 2013/07/09 14:38:39 | WrapperManager:             c:\CSIKI\PROGRAMING\Java\ProjectWaifu\Waifu\lib\wrapper.dll
INFO   | jvm 1    | 2013/07/09 14:38:39 | WrapperManager:           Please verify that the file is both readable and executable by the
INFO   | jvm 1    | 2013/07/09 14:38:39 | WrapperManager:           current user and that the file has not been corrupted in any way.
INFO   | jvm 1    | 2013/07/09 14:38:39 | WrapperManager:           One common cause of this problem is running a 32-bit version
INFO   | jvm 1    | 2013/07/09 14:38:39 | WrapperManager:           of the Wrapper with a 64-bit version of Java, or vica versa.
INFO   | jvm 1    | 2013/07/09 14:38:39 | WrapperManager:           This is a 64-bit JVM.
INFO   | jvm 1    | 2013/07/09 14:38:39 | WrapperManager:           Reported cause:
INFO   | jvm 1    | 2013/07/09 14:38:39 | WrapperManager:             C:\CSIKI\PROGRAMING\Java\ProjectWaifu\Waifu\lib\wrapper.dll: Can't load IA 32-bit .dll on a AMD 64-bit platform
INFO   | jvm 1    | 2013/07/09 14:38:39 | WrapperManager:           System signals will not be handled correctly.
INFO   | jvm 1    | 2013/07/09 14:38:39 | WrapperManager: 
INFO   | jvm 1    | 2013/07/09 14:38:39 | WrapperSimpleApp Error: Unable to locate the class main.Main : java.lang.ClassNotFoundException: main.Main
INFO   | jvm 1    | 2013/07/09 14:38:39 | 
INFO   | jvm 1    | 2013/07/09 14:38:39 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2013/07/09 14:38:39 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class{/app_method}} [app_arguments]
INFO   | jvm 1    | 2013/07/09 14:38:39 | 
INFO   | jvm 1    | 2013/07/09 14:38:39 | Where:
INFO   | jvm 1    | 2013/07/09 14:38:39 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 1    | 2013/07/09 14:38:39 |   app_arguments:  The arguments that would normally be passed to the
INFO   | jvm 1    | 2013/07/09 14:38:39 |                   application.
ERROR  | wrapper  | 2013/07/09 14:38:41 | JVM exited while loading the application.
STATUS | wrapper  | 2013/07/09 14:38:45 | CTRL-C trapped.  Shutting down.
STATUS | wrapper  | 2013/07/09 14:38:45 | <-- Wrapper Stopped
STATUS | wrapper  | 2013/07/09 14:43:28 | --> Wrapper Started as Console
STATUS | wrapper  | 2013/07/09 14:43:28 | Java Service Wrapper Community Edition 32-bit 3.5.19
STATUS | wrapper  | 2013/07/09 14:43:28 |   Copyright (C) 1999-2013 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2013/07/09 14:43:28 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2013/07/09 14:43:28 | 
STATUS | wrapper  | 2013/07/09 14:43:28 | Launching a JVM...
INFO   | jvm 1    | 2013/07/09 14:43:28 | WrapperManager: Initializing...
INFO   | jvm 1    | 2013/07/09 14:43:28 | WrapperManager: 
INFO   | jvm 1    | 2013/07/09 14:43:28 | WrapperManager: WARNING - Unable to load the Wrapper's native library 'wrapper.dll'.
INFO   | jvm 1    | 2013/07/09 14:43:28 | WrapperManager:           The file is located on the path at the following location but
INFO   | jvm 1    | 2013/07/09 14:43:28 | WrapperManager:           could not be loaded:
INFO   | jvm 1    | 2013/07/09 14:43:28 | WrapperManager:             c:\CSIKI\PROGRAMING\Java\ProjectWaifu\Waifu\lib\wrapper.dll
INFO   | jvm 1    | 2013/07/09 14:43:28 | WrapperManager:           Please verify that the file is both readable and executable by the
INFO   | jvm 1    | 2013/07/09 14:43:28 | WrapperManager:           current user and that the file has not been corrupted in any way.
INFO   | jvm 1    | 2013/07/09 14:43:28 | WrapperManager:           One common cause of this problem is running a 32-bit version
INFO   | jvm 1    | 2013/07/09 14:43:28 | WrapperManager:           of the Wrapper with a 64-bit version of Java, or vica versa.
INFO   | jvm 1    | 2013/07/09 14:43:28 | WrapperManager:           This is a 64-bit JVM.
INFO   | jvm 1    | 2013/07/09 14:43:28 | WrapperManager:           Reported cause:
INFO   | jvm 1    | 2013/07/09 14:43:28 | WrapperManager:             C:\CSIKI\PROGRAMING\Java\ProjectWaifu\Waifu\lib\wrapper.dll: Can't load IA 32-bit .dll on a AMD 64-bit platform
INFO   | jvm 1    | 2013/07/09 14:43:28 | WrapperManager:           System signals will not be handled correctly.
INFO   | jvm 1    | 2013/07/09 14:43:28 | WrapperManager: 
INFO   | jvm 1    | 2013/07/09 14:43:28 | WrapperSimpleApp Error: Unable to locate the class main.Main : java.lang.ClassNotFoundException: main.Main
INFO   | jvm 1    | 2013/07/09 14:43:28 | 
INFO   | jvm 1    | 2013/07/09 14:43:28 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2013/07/09 14:43:28 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class{/app_method}} [app_arguments]
INFO   | jvm 1    | 2013/07/09 14:43:28 | 
INFO   | jvm 1    | 2013/07/09 14:43:28 | Where:
INFO   | jvm 1    | 2013/07/09 14:43:28 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 1    | 2013/07/09 14:43:28 |   app_arguments:  The arguments that would normally be passed to the
INFO   | jvm 1    | 2013/07/09 14:43:28 |                   application.
ERROR  | wrapper  | 2013/07/09 14:43:30 | JVM exited while loading the application.
STATUS | wrapper  | 2013/07/09 14:43:35 | Launching a JVM...
INFO   | jvm 2    | 2013/07/09 14:43:35 | WrapperManager: Initializing...
INFO   | jvm 2    | 2013/07/09 14:43:35 | WrapperManager: 
INFO   | jvm 2    | 2013/07/09 14:43:35 | WrapperManager: WARNING - Unable to load the Wrapper's native library 'wrapper.dll'.
INFO   | jvm 2    | 2013/07/09 14:43:35 | WrapperManager:           The file is located on the path at the following location but
INFO   | jvm 2    | 2013/07/09 14:43:35 | WrapperManager:           could not be loaded:
INFO   | jvm 2    | 2013/07/09 14:43:35 | WrapperManager:             c:\CSIKI\PROGRAMING\Java\ProjectWaifu\Waifu\lib\wrapper.dll
INFO   | jvm 2    | 2013/07/09 14:43:35 | WrapperManager:           Please verify that the file is both readable and executable by the
INFO   | jvm 2    | 2013/07/09 14:43:35 | WrapperManager:           current user and that the file has not been corrupted in any way.
INFO   | jvm 2    | 2013/07/09 14:43:35 | WrapperManager:           One common cause of this problem is running a 32-bit version
INFO   | jvm 2    | 2013/07/09 14:43:35 | WrapperManager:           of the Wrapper with a 64-bit version of Java, or vica versa.
INFO   | jvm 2    | 2013/07/09 14:43:35 | WrapperManager:           This is a 64-bit JVM.
INFO   | jvm 2    | 2013/07/09 14:43:35 | WrapperManager:           Reported cause:
INFO   | jvm 2    | 2013/07/09 14:43:35 | WrapperManager:             C:\CSIKI\PROGRAMING\Java\ProjectWaifu\Waifu\lib\wrapper.dll: Can't load IA 32-bit .dll on a AMD 64-bit platform
INFO   | jvm 2    | 2013/07/09 14:43:35 | WrapperManager:           System signals will not be handled correctly.
INFO   | jvm 2    | 2013/07/09 14:43:35 | WrapperManager: 
INFO   | jvm 2    | 2013/07/09 14:43:35 | WrapperSimpleApp Error: Unable to locate the class main.Main : java.lang.ClassNotFoundException: main.Main
INFO   | jvm 2    | 2013/07/09 14:43:35 | 
INFO   | jvm 2    | 2013/07/09 14:43:35 | WrapperSimpleApp Usage:
INFO   | jvm 2    | 2013/07/09 14:43:35 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class{/app_method}} [app_arguments]
INFO   | jvm 2    | 2013/07/09 14:43:35 | 
INFO   | jvm 2    | 2013/07/09 14:43:35 | Where:
INFO   | jvm 2    | 2013/07/09 14:43:35 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 2    | 2013/07/09 14:43:35 |   app_arguments:  The arguments that would normally be passed to the
INFO   | jvm 2    | 2013/07/09 14:43:35 |                   application.
ERROR  | wrapper  | 2013/07/09 14:43:37 | JVM exited while loading the application.
STATUS | wrapper  | 2013/07/09 14:43:41 | Launching a JVM...
INFO   | jvm 3    | 2013/07/09 14:43:41 | WrapperManager: Initializing...
INFO   | jvm 3    | 2013/07/09 14:43:41 | WrapperManager: 
INFO   | jvm 3    | 2013/07/09 14:43:41 | WrapperManager: WARNING - Unable to load the Wrapper's native library 'wrapper.dll'.
INFO   | jvm 3    | 2013/07/09 14:43:41 | WrapperManager:           The file is located on the path at the following location but
